#  allMAMEremoved 0.1 > 0.266
#  ================================================================
#  All sets removed, from the first version, in alphabetical order.
#
#
#  (C) 2024 AntoPISA
#
============================================================================================================================================
| mameID            | Name Set                                   | Added In           | Removed In             |  ReAdded In       | Type  |
|              1968 | kingofbj                                   | 0.34b5             | 0.35rc1                |                   | M     |
|              4911 | kinst13                                    | 0.81u4             | 0.188                  |                   | M     |
|              4912 | kinst14                                    | 0.81u4             | 0.188                  |                   | M     |
|              5239 | kinst210                                   | 0.87u3             | 0.188                  |                   | M     |
|              4913 | kinst211                                   | 0.81u4             | 0.188                  |                   | M     |
|              4914 | kinst213                                   | 0.81u4             | 0.188                  |                   | M     |
|              7214 | kinst2k4                                   | 0.126u3            | 0.188                  |                   | M     |
|              5240 | kinstp                                     | 0.87u3             | 0.188                  |                   | M     |
|             37795 | knpuzzle_decrypter                         | 0.184              | 0.254                  |                   | D     |
|             38209 | koalamnta                                  | 0.186              | 0.189                  |                   | M     |
|              3651 | kof2001                                    | 0.63               | 0.74                   | 0.90u4            | M     |
|             29670 | kof98a                                     | 0.69u3             | 0.71u2                 | 0.153             | M     |
|              4040 | kof99a                                     | 0.71               | 0.71u2                 |                   | M     |
|             30488 | kog_prot                                   | 0.156              | 0.174                  |                   | D     |
|             37796 | konotako_decrypter                         | 0.184              | 0.254                  |                   | D     |
|             45919 | ks0066_f00                                 | 0.253              | 0.261                  |                   | D     |
|             32645 | ks0066_f05                                 | 0.162              | 0.261                  |                   | D     |
|             10587 | lbgrandeja                                 | 0.142u2            | 0.231                  |                   | M     |
|             40497 | leappadca                                  | 0.208              | 0.232                  |                   | M     |
|             28977 | legacy_mos8520                             | 0.149u1            | 0.154                  |                   | D     |
|              4315 | lghost                                     | 0.88u1             | 0.88u5                 |                   | M     |
|             32682 | lilprofa                                   | 0.162              | 0.264                  |                   | M     |
|             28796 | linearflash16mb                            | 0.149              | 0.266                  |                   | D     |
|             28797 | linearflash32mb                            | 0.149              | 0.266                  |                   | D     |
|             28798 | linearflash64mb                            | 0.149              | 0.266                  |                   | D     |
|               409 | lottofun                                   | 0.31               | 0.36rc1                | 0.37b7            | M     |
|             45924 | lw30_beep                                  | 0.253              | 0.256                  |                   | D     |
|             12688 | m1bounty                                   | 0.143u3            | 0.147u4                |                   | M     |
|             11356 | m3nudge                                    | 0.143u2            | 0.247                  |                   | M     |
|             11394 | m3winagna                                  | 0.143u2            | 0.247                  |                   | M     |
|             11458 | m4bigbenc                                  | 0.143u2            | 0.146u5                |                   | M     |
|             21972 | m4bigmt__e                                 | 0.146u5            | 0.245                  |                   | M     |
|             11478 | m4blkbuld                                  | 0.143u2            | 0.246                  |                   | M     |
|             11481 | m4blkwht                                   | 0.143u2            | 0.146u5                |                   | M     |
|             11506 | m4calamab                                  | 0.143u2            | 0.146u5                |                   | M     |
|             11518 | m4casot                                    | 0.143u2            | 0.246                  |                   | M     |
|             22406 | m4chaseif                                  | 0.146u5            | 0.245                  |                   | M     |
|             11537 | m4clbtro                                   | 0.143u2            | 0.147u4                |                   | M     |
|             22423 | m4clbtroa                                  | 0.146u5            | 0.147u4                |                   | M     |
|             22424 | m4clbtrob                                  | 0.146u5            | 0.147u4                |                   | M     |
|             22425 | m4clbtroc                                  | 0.146u5            | 0.147u4                |                   | M     |
|             22426 | m4clbtrod                                  | 0.146u5            | 0.147u4                |                   | M     |
|             13335 | m4dcrazy                                   | 0.143u4            | 0.146u5                |                   | M     |
|             11621 | m4frtlt                                    | 0.143u2            | 0.146u5                |                   | M     |
|             11632 | m4gldnud                                   | 0.143u2            | 0.146u5                |                   | M     |
|             11658 | m4haunte                                   | 0.143u2            | 0.147u4                |                   | M     |
|             11698 | m4jpmcla                                   | 0.143u2            | 0.246                  |                   | M     |
|             11703 | m4lastrp                                   | 0.143u2            | 0.146u5                |                   | M     |
|             11760 | m4nudgew                                   | 0.143u2            | 0.146u5                |                   | M     |
|             11815 | m4reeltm                                   | 0.143u2            | 0.245                  |                   | M     |
|             24756 | m4rhfev__e                                 | 0.146u5            | 0.153                  |                   | M     |
|             25179 | m4shoknr__d                                | 0.146u5            | 0.153                  |                   | M     |
|             13359 | m4sinbd2                                   | 0.143u4            | 0.146u5                |                   | M     |
|             13360 | m4sinbd3                                   | 0.143u4            | 0.146u5                |                   | M     |
|             13361 | m4sinbdd                                   | 0.143u4            | 0.146u5                |                   | M     |
|             13362 | m4sinbdj                                   | 0.143u4            | 0.146u5                |                   | M     |
|             13363 | m4sinbdl                                   | 0.143u4            | 0.146u5                |                   | M     |
|             13371 | m4sinbdw                                   | 0.143u4            | 0.146u5                |                   | M     |
|             11881 | m4str300                                   | 0.143u2            | 0.146u5                |                   | M     |
|             11886 | m4supbj                                    | 0.143u2            | 0.146u5                |                   | M     |
|             11916 | m4ticgld                                   | 0.143u2            | 0.146u5                |                   | M     |
|             11934 | m4tridic                                   | 0.143u2            | 0.246                  |                   | M     |
